
2024/12/31 (23:44:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (00:02:26) | ===> btop++ v.1.4.0
2025/01/01 (00:02:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (00:05:58) | ===> btop++ v.1.4.0
2025/01/01 (00:05:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (00:18:08) | ===> btop++ v.1.4.0
2025/01/01 (00:18:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (00:56:01) | ===> btop++ v.1.4.0
2025/01/01 (00:56:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (21:07:28) | ===> btop++ v.1.4.0
2025/01/01 (21:07:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (21:07:47) | ===> btop++ v.1.4.0
2025/01/01 (21:07:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/01 (21:20:54) | ===> btop++ v.1.4.0
2025/01/01 (21:20:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (01:20:31) | ===> btop++ v.1.4.0
2025/01/02 (01:20:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (01:36:51) | ===> btop++ v.1.4.0
2025/01/02 (01:36:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (01:47:44) | ===> btop++ v.1.4.0
2025/01/02 (01:47:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (01:58:59) | ===> btop++ v.1.4.0
2025/01/02 (01:58:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (02:23:32) | ===> btop++ v.1.4.0
2025/01/02 (02:23:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (02:24:51) | ===> btop++ v.1.4.0
2025/01/02 (02:24:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (02:34:07) | ===> btop++ v.1.4.0
2025/01/02 (02:34:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (02:41:56) | ===> btop++ v.1.4.0
2025/01/02 (02:41:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (02:58:27) | ===> btop++ v.1.4.0
2025/01/02 (02:58:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (03:02:39) | ===> btop++ v.1.4.0
2025/01/02 (03:02:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (03:25:22) | ===> btop++ v.1.4.0
2025/01/02 (03:25:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (05:24:41) | ===> btop++ v.1.4.0
2025/01/02 (05:24:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (05:50:44) | ===> btop++ v.1.4.0
2025/01/02 (05:50:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (05:54:07) | ===> btop++ v.1.4.0
2025/01/02 (05:54:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (21:30:36) | ===> btop++ v.1.4.0
